-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2024 in UTC
Location: Latitude  7.5452   Longitude -5.5 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 239.66 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface Total PAR (MJ/m^2/day) 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
GWETPROF               MERRA-2 Profile Soil Moisture (1) 
GWETROOT               MERRA-2 Root Zone Soil Wetness (1) 
GWETTOP                MERRA-2 Surface Soil Wetness (1) 
IMERG_PRECTOT          MERRA-2 Total Precipitation (mm/day) 
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) 
PRECTOTCORR_SUM        MERRA-2 Precipitation Corrected Sum (mm/day) 
PS                     MERRA-2 Surface Pressure (kPa) 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) 
TS                     MERRA-2 Earth Skin Temperature (C) 
WD10M                  MERRA-2 Wind Direction at 10 Meters (Degrees) 
WS2M                   MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_PAR_TOT,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_PAR_TOT,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_PAR_TOT,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_PAR_TOT,1984,9.87,10.34,10.59,9.86,10.07,9.76,8.81,9.16,9.57,9.23,9.25,9.01,9.62
ALLSKY_SFC_PAR_TOT,1985,9.51,10.23,10.17,10.58,10.0,9.02,8.59,8.56,8.49,9.54,9.22,8.51,9.36
ALLSKY_SFC_PAR_TOT,1986,9.65,10.36,10.19,10.09,10.75,9.15,7.31,8.46,8.79,8.84,9.12,8.39,9.25
ALLSKY_SFC_PAR_TOT,1987,9.62,9.89,10.4,10.84,10.48,8.27,8.77,8.68,8.89,9.26,9.24,8.65,9.41
ALLSKY_SFC_PAR_TOT,1988,9.18,10.19,10.28,10.13,10.79,9.51,8.63,8.05,8.24,8.8,9.22,8.92,9.32
ALLSKY_SFC_PAR_TOT,1989,9.69,9.82,10.44,10.67,10.5,8.81,8.36,7.97,7.76,8.95,9.08,9.34,9.28
ALLSKY_SFC_PAR_TOT,1990,9.47,10.23,11.18,10.78,10.06,9.25,7.72,7.61,8.47,8.95,9.07,8.49,9.26
